index,title_avg_score
0,9.63880445795321
1,9.474452554744257
2,9.45317725752474
3,9.332878581173514
10,9.297190734352244
17,9.256020278833848
6,9.2305699481863
15,9.141738157403811
14,9.125375375375372
35,9.111940298507648
26,9.09281045751622
67,9.082517482517382
21,9.046239554317788
13,9.042399172699126
12,9.032883642495882
18,9.023486901535609
25,9.01690670006249
40,9.005973715651253
50,8.998517420311462
11,8.98680490103667
27,8.984461709212107
23,8.926873037236465
16,8.916457811194618
19,8.915182755388997
20,8.912366114897516
29,8.910828025477139
96,8.89334195216543
45,8.888959390862643
68,8.850844966935878
24,8.84244080145723
41,8.822784810126747
53,8.821656050955424
30,8.817590987868593
31,8.815950920245237
36,8.81194690265502
49,8.791469194312697
66,8.779475982532842
79,8.773324572930477
78,8.769520225776262
80,8.759191176470432
74,8.755803955287917
43,8.753398058252488
64,8.751236399604522
57,8.741265344664658
81,8.729625550660787
86,8.726384364820904
39,8.724383561644128
46,8.713286713286752
42,8.709573612228311
206,8.70853080568716
9,8.705019740552936
34,8.703900709219853
38,8.699933906147056
94,8.698714897667891
88,8.69358407079652
22,8.69273743016765
360,8.69270833333337
47,8.691856677524337
212,8.690949227373329
44,8.674498286833112
33,8.673469387755171
65,8.670498084291358
56,8.668148148148237
28,8.665236051502088
111,8.661745827984765
194,8.65886939571149
95,8.65564738292031
63,8.655392469687287
89,8.633788568538451
52,8.633241758241669
87,8.631197097944199
37,8.628171478565335
5,8.626168224298798
51,8.620477290223269
59,8.615247595297623
83,8.610490111779702
115,8.609756097561133
108,8.605757196495674
77,8.604683195592013
58,8.600433839479278
103,8.597852028639663
120,8.596581196581232
219,8.595356550580572
127,8.590082644628085
48,8.587421383647781
92,8.585400763358741
32,8.578144853875523
183,8.576023391812749
161,8.574493444576767
91,8.573240052470586
70,8.566358024691334
102,8.558052434456856
193,8.55462184873943
106,8.55314197051978
82,8.55025641025671
149,8.546329723225169
54,8.535419126328502
121,8.534858387799478
135,8.534136546184602
265,8.532150776053395
282,8.531154239019273
93,8.52914798206261
107,8.528158295281338
113,8.526203208556336
55,8.525773195876344
448,8.525581395348814
368,8.525000000000059
184,8.522222222222195
140,8.519040902679924
215,8.517543859649159
8,8.517153748411577
195,8.516320474777519
166,8.515390121689174
286,8.512690355330026
61,8.512014787430651
118,8.50771730300581
76,8.507291666666744
134,8.501792114695458
221,8.501136363636517
75,8.49772382397549
145,8.496855345912012
164,8.495157384987797
217,8.493233082706844
101,8.492407809110723
4,8.490026595744538
105,8.488817891373758
109,8.48851939825797
236,8.485887096774157
379,8.481971153846002
216,8.477715877437422
158,8.477657935285023
139,8.47581699346398
293,8.475177304964665
143,8.471074380165211
252,8.469827586206675
179,8.469635627530492
235,8.467878787878636
156,8.467226890756214
342,8.461472602739558
213,8.461368653421678
250,8.460036607687865
244,8.455142231947425
273,8.4543828264759
97,8.451145958986686
100,8.450632911392573
285,8.450370370370367
157,8.45000000000018
144,8.44999999999993
196,8.449189985272517
270,8.448979591836675
73,8.444670739986247
207,8.442731277532975
210,8.436964504284205
171,8.436906377204883
122,8.435619735258808
114,8.433106575963748
123,8.432153392330314
344,8.430907604251841
241,8.429298067141476
203,8.427616926503426
136,8.423042304230568
152,8.418181818181894
131,8.417965169569245
110,8.416983523447296
192,8.416530278232445
263,8.413553431798517
266,8.411417322834545
133,8.40934065934078
224,8.409090909090972
262,8.40729247478686
128,8.405131667792231
7,8.404522613065526
168,8.402263374485491
256,8.401997503121223
163,8.398345153664211
230,8.395739910313802
251,8.39331210191085
84,8.387931034482488
208,8.387586206896485
69,8.387339055793937
222,8.386419753086502
231,8.383322559793218
246,8.38159879336325
148,8.38066914498137
165,8.378378378378335
60,8.375791695988871
242,8.373902132998643
470,8.369202226345001
253,8.36600719424476
214,8.365671641790936
130,8.365313653136505
99,8.365055762082022
132,8.363764044943897
98,8.358929610238299
278,8.35645677694786
211,8.35394932935923
71,8.352745424292886
90,8.3492935635792
283,8.346966598500625
147,8.345875542691811
385,8.345070422535183
170,8.341935483870888
343,8.341625207296744
104,8.340611353711825
199,8.33923303834797
237,8.338420703384447
72,8.337010479867352
308,8.336557059961272
340,8.334975369458197
367,8.331737346101333
160,8.330827067669157
336,8.330733229329168
137,8.329390354868103
126,8.327641408751335
243,8.326568265682575
205,8.325110132158484
185,8.319571865443345
119,8.318051575931285
138,8.317415730337196
142,8.316442605997745
298,8.316436251920097
418,8.315670800450842
85,8.315533980582305
146,8.314339981006757
327,8.31041524846841
234,8.309923664122014
414,8.309128630705349
141,8.308571428571328
394,8.308152580404002
396,8.306372549019644
291,8.3061516452074
209,8.305599999999835
284,8.304048892284074
422,8.299337748344426
227,8.298896690070247
304,8.296325878594292
162,8.29535864978898
188,8.293902439024356
112,8.29144736842124
264,8.291124260354996
376,8.289085545722642
355,8.289048473967535
154,8.288135593220407
271,8.285365853658588
296,8.284126984127033
393,8.283224400871413
290,8.277841561423683
229,8.277330264671962
316,8.277108433734925
190,8.275123558484353
317,8.27357032457497
169,8.273516642546934
495,8.272952853597987
383,8.268601190476371
370,8.268436578171189
186,8.267132867132867
295,8.266666666666758
320,8.266016713091894
202,8.264415156507324
125,8.262734584450321
269,8.26224328593988
178,8.262101534828682
341,8.261329305135986
220,8.26086956521733
302,8.260512820512986
116,8.259668508287396
280,8.259656652360592
326,8.256893073301871
358,8.255494505494443
415,8.25525210084021
430,8.254583551597559
395,8.253196930946274
191,8.251517779704997
402,8.250596658711268
